1,1,1,2,1,22,1,14,10.82,11,0.41,333393.14,666628,192424.92,62.20,73.70,1000000,173921,17.39,0.17,�,�,666628,0,0.00,0.00,1.00,0.00,1.00,0.00,
1,1,1,2,1,22,1,16,10.82,11,0.41,333119.19,666436,192437.03,62.20,73.69,1000000,173928,17.39,0.17,�,�,666436,0,0.00,0.00,1.00,0.00,1.00,0.00,
1,1,1,2,1,22,1,18,10.82,11,0.41,333427.78,666978,192530.17,62.20,73.70,1000000,173905,17.39,0.17,�,�,666978,0,0.00,0.00,1.00,0.00,1.00,0.00,
1,1,1,2,1,22,1,20,10.82,11,0.41,333504.15,666827,192479.82,62.30,73.82,1000000,173632,17.36,0.17,�,�,666827,0,0.00,0.00,1.00,0.00,1.00,0.00,
1,1,1,2,1,2,1,22,0.00,1,0.00,311691.79,623332,179924.70,0.00,1.50,1000000,999998,100.00,1.00,467333.79,467323.79,666833,43501,6.52,0.04,0.83,0.17,0.67,0.33,
1,1,1,2,1,2,1,2,0.00,1,0.00,166510.93,333182,96148.64,0.00,1.50,1000000,999998,100.00,1.00,249809.31,249809.31,666632,333450,50.02,0.33,0.83,0.17,0.67,0.33,
1,1,1,2,1,2,1,4,0.00,1,0.00,233515.85,466835,134708.12,0.00,1.50,1000000,999999,100.00,1.00,350448.46,350447.46,666727,199893,29.98,0.20,0.83,0.17,0.67,0.33,
1,1,1,2,1,2,1,6,0.00,1,0.00,261536.71,523419,151191.29,0.00,1.50,1000000,999998,100.00,1.00,392294.59,392292.60,666264,142845,21.44,0.14,0.83,0.17,0.67,0.33,
1,1,1,2,1,2,1,8,0.00,1,0.00,277954.73,555863,160483.57,0.00,1.50,1000000,999999,100.00,1.00,416138.36,416135.35,666771,110908,16.63,0.11,0.83,0.17,0.67,0.33,
1,1,1,2,1,2,1,10,0.00,1,0.00,287514.30,575248,166116.32,0.00,1.50,1000000,999999,100.00,1.00,431604.92,431600.92,666108,90860,13.64,0.09,0.83,0.17,0.67,0.33,
1,1,1,2,1,2,1,12,0.00,1,0.00,294529.13,589096,170082.21,0.00,1.50,1000000,999999,100.00,1.00,441703.35,441698.38,666371,77275,11.60,0.08,0.83,0.17,0.67,0.33,
1,1,1,2,1,2,1,14,0.00,1,0.00,299991.21,600122,173192.32,0.00,1.50,1000000,999998,100.00,1.00,449823.53,449817.52,666608,66486,9.97,0.07,0.83,0.17,0.67,0.33,
1,1,1,2,1,2,1,16,0.00,1,0.00,303866.05,607915,175461.79,0.00,1.50,1000000,999999,100.00,1.00,455140.66,455133.65,666685,58770,8.82,0.06,0.83,0.17,0.67,0.33,
