degree , time ,
1 , 2 ,
2 , 1 ,
3 , 1 ,
4 , 2 ,
5 , 2 ,
6 , 2 ,
7 , 2 ,
8 , 5 ,
9 , 4 ,
10 , 9 ,
11 , 5 ,
12 , 6 ,
13 , 5 ,
14 , 5 ,
15 , 6 ,
16 , 7 ,
17 , 12 ,
18 , 6 ,
19 , 12 ,
20 , 8 ,
22 , 9 ,
24 , 9 ,
26 , 8 ,
28 , 7 ,
30 , 7 ,
33 , 8 ,
36 , 9 ,
39 , 10 ,
42 , 10 ,
46 , 11 ,
50 , 12 ,
55 , 13 ,
60 , 15 ,
66 , 16 ,
72 , 18 ,
79 , 20 ,
86 , 22 ,
94 , 26 ,
103 , 28 ,
113 , 31 ,
124 , 35 ,
136 , 39 ,
149 , 43 ,
163 , 48 ,
179 , 56 ,
196 , 60 ,
215 , 64 ,
236 , 71 ,
259 , 77 ,
284 , 84 ,
312 , 92 ,
343 , 100 ,
377 , 108 ,
414 , 118 ,
455 , 129 ,

