degree , error ,
1 , 0.05 ,
2 , 0.04 ,
3 , 0.03 ,
4 , -0.00 ,
5 , -0.04 ,
6 , -0.06 ,
7 , -0.10 ,
8 , -0.02 ,
9 , 0.09 ,
10 , 0.08 ,
11 , -0.03 ,
12 , 0.19 ,
13 , 0.11 ,
14 , -0.02 ,
15 , 0.19 ,
16 , -0.09 ,
17 , -0.18 ,
18 , -0.15 ,
19 , 0.27 ,
20 , 0.10 ,
22 , -0.31 ,
24 , -0.36 ,
26 , 0.07 ,
28 , -0.06 ,
30 , 0.07 ,
33 , -0.24 ,
36 , -0.01 ,
39 , 0.03 ,
42 , -0.46 ,
46 , 0.33 ,
50 , 0.09 ,
55 , 0.03 ,
60 , 0.34 ,
66 , -0.42 ,
72 , 0.17 ,
79 , -0.25 ,
86 , 0.18 ,
94 , -0.25 ,
103 , 0.11 ,
113 , -0.42 ,
124 , -0.39 ,
136 , 0.17 ,
149 , -0.36 ,
163 , NaN ,
179 , NaN ,
196 , NaN ,
215 , NaN ,
236 , NaN ,
259 , NaN ,
284 , NaN ,
312 , NaN ,
343 , NaN ,
377 , NaN ,
414 , NaN ,
455 , NaN ,

