degree , error ,
1 , -0.00 ,
2 , -0.01 ,
3 , -0.01 ,
4 , 0.01 ,
5 , 0.00 ,
6 , -0.00 ,
7 , 0.00 ,
8 , 0.01 ,
9 , -0.00 ,
10 , 0.00 ,
11 , 0.01 ,
12 , -0.01 ,
13 , -0.03 ,
14 , 0.00 ,
15 , -0.00 ,
16 , -0.02 ,
17 , -0.02 ,
18 , -0.02 ,
19 , 0.00 ,
20 , 0.02 ,
22 , -0.00 ,
24 , 0.01 ,
26 , -0.02 ,
28 , -0.01 ,
30 , 0.03 ,
33 , 0.01 ,
36 , -0.03 ,
39 , -0.03 ,
42 , 0.03 ,
46 , 0.00 ,
50 , -0.03 ,
55 , 0.02 ,
60 , 0.03 ,
66 , 0.00 ,
72 , -0.00 ,
79 , -0.00 ,
86 , -0.03 ,
94 , -0.02 ,
103 , -0.03 ,
113 , 0.04 ,
124 , 0.01 ,
136 , -0.03 ,
149 , -0.04 ,
163 , NaN ,
179 , NaN ,
196 , NaN ,
215 , NaN ,
236 , NaN ,
259 , NaN ,
284 , NaN ,
312 , NaN ,
343 , NaN ,
377 , NaN ,
414 , NaN ,
455 , NaN ,

