degree , error ,
1 , -0.04 ,
2 , 0.01 ,
3 , 0.01 ,
4 , -0.01 ,
5 , -0.05 ,
6 , 0.11 ,
7 , 0.12 ,
8 , 0.05 ,
9 , 0.12 ,
10 , -0.11 ,
11 , -0.06 ,
12 , 0.00 ,
13 , 0.03 ,
14 , 0.16 ,
15 , -0.21 ,
16 , -0.22 ,
17 , 0.09 ,
18 , 0.08 ,
19 , -0.02 ,
20 , -0.12 ,
22 , 0.28 ,
24 , 0.02 ,
26 , 0.15 ,
28 , -0.07 ,
30 , 0.01 ,
33 , -0.33 ,
36 , -0.04 ,
39 , 0.06 ,
42 , -0.10 ,
46 , 0.05 ,
50 , -0.23 ,
55 , 0.33 ,
60 , 0.52 ,
66 , 0.26 ,
72 , 0.17 ,
79 , 0.01 ,
86 , -0.01 ,
94 , 0.13 ,
103 , 0.40 ,
113 , -0.20 ,
124 , -0.47 ,
136 , 0.16 ,
149 , 0.51 ,
163 , -0.73 ,
179 , 0.04 ,
196 , 0.02 ,
215 , NaN ,
236 , NaN ,
259 , NaN ,
284 , NaN ,
312 , NaN ,
343 , NaN ,
377 , NaN ,
414 , NaN ,
455 , NaN ,

