degree , time ,
1 , 3 ,
2 , 1 ,
3 , 1 ,
4 , 2 ,
5 , 2 ,
6 , 2 ,
7 , 3 ,
8 , 4 ,
9 , 5 ,
10 , 7 ,
11 , 6 ,
12 , 4 ,
13 , 4 ,
14 , 5 ,
15 , 7 ,
16 , 5 ,
17 , 10 ,
18 , 7 ,
19 , 7 ,
20 , 14 ,
22 , 9 ,
24 , 9 ,
26 , 9 ,
28 , 7 ,
30 , 7 ,
33 , 8 ,
36 , 9 ,
39 , 9 ,
42 , 10 ,
46 , 11 ,
50 , 12 ,
55 , 13 ,
60 , 15 ,
66 , 16 ,
72 , 18 ,
79 , 21 ,
86 , 22 ,
94 , 25 ,
103 , 28 ,
113 , 31 ,
124 , 34 ,
136 , 40 ,
149 , 42 ,
163 , 49 ,
179 , 52 ,
196 , 58 ,
215 , 64 ,
236 , 71 ,
259 , 79 ,
284 , 86 ,
312 , 95 ,
343 , 103 ,
377 , 113 ,
414 , 123 ,
455 , 159 ,

