degree , error ,
1 , 0.00 ,
2 , -0.01 ,
3 , 0.00 ,
4 , 0.01 ,
5 , 0.02 ,
6 , 0.00 ,
7 , 0.06 ,
8 , -0.03 ,
9 , -0.02 ,
10 , -0.05 ,
11 , 0.02 ,
12 , 0.01 ,
13 , 0.00 ,
14 , 0.00 ,
15 , 0.02 ,
16 , -0.03 ,
17 , -0.00 ,
18 , -0.01 ,
19 , -0.00 ,
20 , 0.02 ,
22 , 0.07 ,
24 , 0.02 ,
26 , -0.06 ,
28 , -0.03 ,
30 , -0.01 ,
33 , 0.02 ,
36 , 0.05 ,
39 , 0.06 ,
42 , -0.04 ,
46 , 0.03 ,
50 , -0.05 ,
55 , -0.01 ,
60 , 0.06 ,
66 , 0.01 ,
72 , -0.04 ,
79 , -0.01 ,
86 , 0.07 ,
94 , -0.05 ,
103 , -0.09 ,
113 , 0.06 ,
124 , -0.12 ,
136 , -0.05 ,
149 , -0.05 ,
163 , 0.04 ,
179 , 0.01 ,
196 , 0.02 ,
215 , NaN ,
236 , NaN ,
259 , NaN ,
284 , NaN ,
312 , NaN ,
343 , NaN ,
377 , NaN ,
414 , NaN ,
455 , NaN ,

