degree , time ,
1 , 8 ,
2 , 8 ,
3 , 13 ,
4 , 17 ,
5 , 18 ,
6 , 23 ,
7 , 29 ,
8 , 24 ,
9 , 20 ,
10 , 21 ,
11 , 23 ,
12 , 30 ,
13 , 27 ,
14 , 31 ,
15 , 37 ,
16 , 37 ,
17 , 36 ,
18 , 38 ,
19 , 40 ,
20 , 42 ,
22 , 47 ,
24 , 51 ,
26 , 56 ,
28 , 60 ,
30 , 65 ,
33 , 71 ,
36 , 77 ,
39 , 84 ,
42 , 90 ,
46 , 98 ,
50 , 108 ,
55 , 118 ,
60 , 129 ,
66 , 143 ,
72 , 160 ,
79 , 179 ,
86 , 198 ,
94 , 220 ,
103 , 244 ,
113 , 271 ,
124 , 302 ,
136 , 336 ,
149 , 372 ,
163 , 414 ,
179 , 460 ,
196 , 509 ,
215 , 565 ,
236 , 629 ,
259 , 692 ,
284 , 776 ,
312 , 835 ,
343 , 911 ,
377 , 1006 ,
414 , 1092 ,
455 , 1189 ,

