degree , time ,
1 , 0 ,
2 , 0 ,
3 , 0 ,
4 , 0 ,
5 , 0 ,
6 , 0 ,
7 , 0 ,
8 , 0 ,
9 , 0 ,
10 , 0 ,
11 , 0 ,
12 , 0 ,
13 , 0 ,
14 , 0 ,
15 , 0 ,
16 , 0 ,
17 , 0 ,
18 , 0 ,
19 , 0 ,
20 , 1 ,
22 , 1 ,
24 , 1 ,
26 , 1 ,
28 , 1 ,
30 , 1 ,
33 , 1 ,
36 , 1 ,
39 , 1 ,
42 , 1 ,
46 , 2 ,
50 , 2 ,
55 , 2 ,
60 , 2 ,
66 , 4 ,
72 , 4 ,
79 , 4 ,
86 , 3 ,
94 , 4 ,
103 , 4 ,
113 , 3 ,
124 , 4 ,
136 , 6 ,
149 , 9 ,
163 , 8 ,
179 , 6 ,
196 , 9 ,
215 , 12 ,
236 , 10 ,
259 , 9 ,
284 , 9 ,
312 , 8 ,
343 , 9 ,
377 , 10 ,
414 , 11 ,
455 , 11 ,

