degree , time ,
1 , 0 ,
2 , 0 ,
3 , 0 ,
4 , 0 ,
5 , 0 ,
6 , 0 ,
7 , 0 ,
8 , 0 ,
9 , 0 ,
10 , 2 ,
11 , 1 ,
12 , 1 ,
13 , 1 ,
14 , 1 ,
15 , 1 ,
16 , 1 ,
17 , 2 ,
18 , 2 ,
19 , 2 ,
20 , 2 ,
22 , 3 ,
24 , 3 ,
26 , 4 ,
28 , 3 ,
30 , 2 ,
33 , 3 ,
36 , 3 ,
39 , 3 ,
42 , 3 ,
46 , 5 ,
50 , 5 ,
55 , 6 ,
60 , 11 ,
66 , 7 ,
72 , 10 ,
79 , 10 ,
86 , 10 ,
94 , 9 ,
103 , 9 ,
113 , 8 ,
124 , 9 ,
136 , 10 ,
149 , 11 ,
163 , 12 ,
179 , 14 ,
196 , 19 ,
215 , 17 ,
236 , 19 ,
259 , 20 ,
284 , 24 ,
312 , 24 ,
343 , 27 ,
377 , 30 ,
414 , 32 ,
455 , 35 ,

