degree , time ,
1 , 3 ,
2 , 1 ,
3 , 3 ,
4 , 4 ,
5 , 4 ,
6 , 7 ,
7 , 11 ,
8 , 10 ,
9 , 9 ,
10 , 10 ,
11 , 14 ,
12 , 13 ,
13 , 19 ,
14 , 14 ,
15 , 12 ,
16 , 10 ,
17 , 11 ,
18 , 11 ,
19 , 12 ,
20 , 13 ,
22 , 15 ,
24 , 16 ,
26 , 17 ,
28 , 18 ,
30 , 20 ,
33 , 22 ,
36 , 23 ,
39 , 26 ,
42 , 28 ,
46 , 31 ,
50 , 33 ,
55 , 38 ,
60 , 40 ,
66 , 45 ,
72 , 50 ,
79 , 55 ,
86 , 61 ,
94 , 69 ,
103 , 77 ,
113 , 96 ,
124 , 95 ,
136 , 106 ,
149 , 117 ,
163 , 129 ,
179 , 144 ,
196 , 159 ,
215 , 175 ,
236 , 199 ,
259 , 211 ,
284 , 229 ,
312 , 250 ,
343 , 272 ,
377 , 294 ,
414 , 322 ,
455 , 350 ,

