degree , time ,
1 , 18 ,
2 , 29 ,
3 , 33 ,
4 , 43 ,
5 , 40 ,
6 , 40 ,
7 , 46 ,
8 , 52 ,
9 , 59 ,
10 , 66 ,
11 , 72 ,
12 , 78 ,
13 , 85 ,
14 , 92 ,
15 , 99 ,
16 , 105 ,
17 , 111 ,
18 , 118 ,
19 , 127 ,
20 , 134 ,
22 , 147 ,
24 , 160 ,
26 , 173 ,
28 , 187 ,
30 , 200 ,
33 , 220 ,
36 , 239 ,
39 , 260 ,
42 , 279 ,
46 , 305 ,
50 , 332 ,
55 , 366 ,
60 , 398 ,
66 , 445 ,
72 , 501 ,
79 , 557 ,
86 , 628 ,
94 , 694 ,
103 , 769 ,
113 , 858 ,
124 , 952 ,
136 , 1057 ,
149 , 1184 ,
163 , 1305 ,
179 , 1449 ,
196 , 1594 ,
215 , 1751 ,
236 , 1915 ,
259 , 2086 ,
284 , 2280 ,
312 , 2477 ,
343 , 2703 ,
377 , 2948 ,
414 , 3222 ,
455 , 3515 ,

