degree , error ,
1 , -0.00 ,
2 , 0.00 ,
3 , 0.00 ,
4 , -0.01 ,
5 , 0.00 ,
6 , 0.00 ,
7 , -0.00 ,
8 , -0.01 ,
9 , -0.00 ,
10 , -0.00 ,
11 , 0.00 ,
12 , 0.00 ,
13 , -0.01 ,
14 , 0.02 ,
15 , 0.00 ,
16 , -0.01 ,
17 , -0.00 ,
18 , -0.00 ,
19 , -0.01 ,
20 , -0.05 ,
22 , -0.02 ,
24 , -0.02 ,
26 , 0.01 ,
28 , 0.01 ,
30 , 0.01 ,
33 , 0.02 ,
36 , -0.00 ,
39 , -0.00 ,
42 , 0.01 ,
46 , -0.03 ,
50 , 0.00 ,
55 , -0.00 ,
60 , 0.01 ,
66 , 0.01 ,
72 , -0.03 ,
79 , -0.05 ,
86 , -0.02 ,
94 , -0.02 ,
103 , 0.02 ,
113 , -0.06 ,
124 , 0.07 ,
136 , 0.01 ,
149 , 0.04 ,
163 , -0.03 ,
179 , -0.06 ,
196 , 0.01 ,
215 , NaN ,
236 , NaN ,
259 , NaN ,
284 , NaN ,
312 , NaN ,
343 , NaN ,
377 , NaN ,
414 , NaN ,
455 , NaN ,

